City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Tuscaloosa,US,11/28/21 1:05,33.2098,-87.5692,49.73,57,1,0
252,Pudozh,RU,11/28/21 1:05,61.8099,36.5345,18.28,87,100,11.07
253,Bandarbeyla,SO,11/28/21 1:05,9.4942,50.8122,78.1,80,81,14.94
254,Olafsvik,IS,11/28/21 1:05,64.8945,-23.7142,38.66,91,100,7.02
255,Port Augusta,AU,11/28/21 1:05,-32.5,137.7667,69.94,30,88,7.83
256,Port Blair,IN,11/28/21 1:05,11.6667,92.75,81.86,74,26,13.98
257,Zaozerne,UA,11/28/21 1:05,45.1582,33.2787,54.95,92,17,12.91
258,Nakapiripirit,UG,11/28/21 1:05,1.9167,34.7833,66,82,56,7.92
259,Paragominas,BR,11/28/21 1:05,-2.9667,-47.4833,74.57,90,83,2.19
260,Bodaybo,RU,11/28/21 1:05,57.8506,114.1933,-5.51,98,100,1.83
261,Manihari,IN,11/28/21 1:05,25.35,87.6333,62.91,75,40,0.85
262,Yar-Sale,RU,11/28/21 1:05,66.8333,70.8333,-0.27,96,92,10.51
263,Moree,AU,11/28/21 1:05,-29.4667,149.85,73.42,68,90,12.66
264,Greensburg,US,11/28/21 1:05,40.3015,-79.5389,32.41,93,75,0
265,Talas,TR,11/28/21 1:05,38.6908,35.5538,47.07,93,75,6.91
266,Nishihara,JP,11/28/21 1:03,26.1842,127.7558,71.26,56,75,18.41
267,Bengkulu,ID,11/28/21 1:05,-3.8004,102.2655,78.24,82,99,3.53
268,Concepcion Del Uruguay,AR,11/28/21 1:05,-32.4825,-58.2372,72.07,61,100,6.62
269,Houma,US,11/28/21 1:04,29.5958,-90.7195,57.2,77,1,0
270,Saint-Francois,FR,11/28/21 1:06,46.4154,3.9054,35.04,93,90,8.05
271,Petropavlovsk-Kamchatskiy,RU,11/28/21 1:02,53.0452,158.6483,21.79,54,0,8.95
272,Nowy Dwor Mazowiecki,PL,11/28/21 1:06,52.4302,20.7165,30.49,100,20,5.75
273,Samarai,PG,11/28/21 1:06,-10.6167,150.6667,83.77,72,100,6.62
274,Konstantinovka,RU,11/28/21 1:06,49.6167,127.9833,16.09,93,100,4.76
275,Saint-Philippe,RE,11/28/21 1:06,-21.3585,55.7679,76.59,83,80,5.12
276,Narsaq,GL,11/28/21 1:03,60.9167,-46.05,39.42,100,100,1.77
277,Tuy Hoa,VN,11/28/21 1:06,13.0833,109.3,76.08,96,100,9.17
278,Esperance,AU,11/28/21 1:06,-33.8667,121.9,75.87,43,0,9.78
279,Bitung,ID,11/28/21 1:06,1.4451,125.1824,86.85,67,85,1.1
280,Naze,JP,11/28/21 1:06,28.3667,129.4833,64.11,58,7,20.29
281,Korem,ET,11/28/21 1:06,12.5058,39.5228,52.65,75,59,5.17
282,Tura,IN,11/28/21 1:06,25.5198,90.2201,58.98,74,38,3.13
283,Taltal,CL,11/28/21 1:06,-25.4,-70.4833,63.66,76,5,1.95
284,Campbellsville,US,11/28/21 1:06,37.3434,-85.3419,48.76,76,88,8.39
285,Palasa,IN,11/28/21 1:06,18.7667,84.4167,71.4,88,24,9.1
286,Saint-Pierre,RE,11/28/21 1:06,-21.3393,55.4781,76.68,78,90,4.61
287,Hambantota,LK,11/28/21 1:06,6.1241,81.1185,75.54,100,75,5.75
288,Chara,RU,11/28/21 1:06,56.9064,118.2631,-11.72,79,3,1.63
289,Lasa,IT,11/28/21 1:06,46.6166,10.7002,32.74,96,100,3.62
290,Lata,PT,11/28/21 1:06,40.1629,-8.3327,41,76,23,3.83
291,Vila Velha,BR,11/28/21 1:05,-20.3297,-40.2925,75.15,78,0,9.22
292,Monster,NL,11/28/21 1:06,52.0258,4.175,46.38,93,75,6.91
293,Auki,SB,11/28/21 1:06,-8.7676,160.7034,85.68,68,94,2.44
294,Roald,NO,11/28/21 1:06,62.5833,6.1333,24.94,80,8,11.5
295,Arona,ES,11/28/21 1:06,28.0996,-16.681,59.31,72,20,8.05
296,Mount Gambier,AU,11/28/21 1:06,-37.8333,140.7667,67.51,40,9,7.78
297,Vestmanna,FO,11/28/21 1:06,62.1564,-7.1664,23.92,86,93,1.14
298,Pangody,RU,11/28/21 1:06,65.85,74.4859,-2.06,99,91,6.93
299,Alice Springs,AU,11/28/21 1:03,-23.7,133.8833,74.75,29,1,12.66
300,Ketchikan,US,11/28/21 1:06,55.3422,-131.6461,46.87,93,90,20.71
301,Bilma,NE,11/28/21 1:06,18.6853,12.9164,72.9,19,7,6.67
302,Kysyl-Syr,RU,11/28/21 1:06,63.8986,122.7617,-2.83,96,100,7.72
